dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,107,2,0,0,0,0,0,4,76,25,10,2,7
2015-05-01,130,2,1,1,0,0,2,7,252,121,49,10,9
2015-06-01,66,3,1,0,1,1,0,0,18,49,39,10,6
2015-07-01,59,2,0,0,0,0,0,2,18,59,35,24,6
2015-08-01,165,4,0,0,0,0,0,6,23,105,26,4,10
2015-09-01,147,2,0,0,0,0,0,2,22,158,38,20,4
2015-10-01,98,1,0,0,0,0,0,2,16,59,46,10,6
2015-11-01,47,3,0,0,0,0,0,2,13,32,47,21,6
2015-12-01,44,1,1,1,0,0,2,2,10,69,57,17,4
2016-01-01,43,3,1,1,0,0,0,3,19,65,81,52,12
2016-02-01,0,0,0,0,0,0,0,1,0,2,14,25,3
2016-03-01,20,1,0,0,0,0,0,1,2,4,56,13,5
2016-04-01,4,1,1,1,0,0,0,4,9,48,57,11,3
2016-05-01,3,2,0,0,0,0,0,1,1,5,72,20,4
2016-06-01,0,0,0,0,0,0,0,0,5,5,69,14,2
2016-07-01,1,1,0,0,0,0,0,1,4,7,83,22,7
2016-08-01,26,2,0,0,0,0,0,1,22,58,79,29,7
2016-09-01,67,3,1,1,0,0,0,2,15,50,175,42,3
2016-10-01,8,3,0,0,0,0,0,0,16,30,82,35,3
2016-11-01,9,3,0,0,0,0,0,2,14,37,98,36,7
2016-12-01,28,1,0,0,0,0,0,6,12,66,124,48,0
2017-01-01,114,3,0,0,0,0,0,2,38,170,133,38,1
2017-02-01,81,4,0,0,0,0,0,2,30,99,149,45,5
2017-03-01,48,4,0,0,0,0,0,6,34,89,200,56,4
2017-04-01,27,5,0,0,0,0,0,5,29,128,149,43,3
2017-05-01,33,4,1,1,0,0,2,5,46,121,105,46,5
2017-06-01,46,1,0,0,0,0,0,9,10,43,161,51,1
2017-07-01,6,1,0,0,0,0,0,2,5,6,111,38,2
2017-08-01,2,1,0,0,0,0,0,4,10,29,149,32,4
2017-09-01,7,2,0,0,0,0,0,6,8,9,142,48,3
2017-10-01,0,0,0,0,0,0,0,2,6,24,115,25,3
2017-11-01,0,0,0,0,0,0,0,7,12,37,140,40,1
2017-12-01,2,1,1,0,0,0,0,4,3,11,150,45,0
2018-01-01,26,4,0,0,1,1,0,7,13,31,156,51,4
2018-02-01,16,2,0,0,0,0,0,4,17,91,96,22,2
2018-03-01,8,3,0,0,0,0,0,1,8,30,172,41,0
2018-04-01,3,1,1,0,0,0,1,3,6,13,152,42,5
2018-05-01,1,1,0,1,0,0,1,6,6,25,146,39,3
2018-06-01,0,0,0,0,0,0,0,2,1,6,163,30,1
2018-07-01,16,2,0,0,0,0,0,6,42,130,147,44,0
2018-08-01,42,2,0,0,0,0,0,3,43,198,159,39,1
2018-09-01,0,0,0,0,0,0,0,2,3,7,154,45,0
2018-10-01,9,3,1,1,0,0,0,2,25,64,149,38,0
2018-11-01,10,3,1,0,0,0,0,4,10,22,189,43,3
2018-12-01,31,1,1,1,0,0,2,2,13,45,169,50,1
2019-01-01,11,1,0,1,0,0,2,3,4,6,186,43,0
2019-02-01,40,2,2,1,1,1,4,4,9,62,128,37,0
2019-03-01,0,0,0,0,0,0,0,3,2,4,190,50,2
2019-04-01,98,3,0,0,0,0,0,5,20,54,196,59,1
2019-05-01,34,1,0,0,0,0,0,12,10,22,194,57,1
2019-06-01,0,0,0,0,0,0,0,9,4,12,165,48,1
2019-07-01,0,0,0,0,0,0,0,4,1,0,172,56,0
2019-08-01,0,0,1,0,0,0,1,9,6,15,179,46,2
2019-09-01,0,0,0,0,0,0,0,4,4,7,163,33,1
2019-10-01,51,1,0,0,0,0,0,6,12,27,167,39,2
2019-11-01,26,1,0,0,0,0,0,10,4,48,187,49,0
2019-12-01,194,1,1,1,0,0,0,12,112,341,219,62,1
2020-01-01,84,4,1,1,0,0,2,15,113,526,201,53,1
2020-02-01,31,1,0,0,0,0,0,10,54,142,245,77,0
2020-03-01,54,3,0,0,0,0,0,23,42,110,360,85,2
2020-04-01,1,1,0,0,0,0,0,10,8,65,282,87,0
